Methods Information:
29.03.2024 16:46:20
<untitled>  
List:  Volume(ml)       Buffer    ml/min
 ->    0.00 Collect All:  1.00 ml 
01     0.00 to   10.00 BUFFER A     1.00
--------------------------------------------------
--------------------------------------------------
Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:	Events:		
0.000	0.0603	32.41	Start  28.33 min		
0.017	0.0602	32.41	Fraction  29.33 min		
0.033	0.0602	32.41	Fraction  30.33 min		
0.050	0.0602	32.41	Fraction  31.33 min		
0.067	0.0602	32.41	Fraction  32.33 min		
0.083	0.0602	32.37	Fraction  33.33 min		
0.100	0.0600	32.37	Pause  33.51 min		
0.117	0.0599	32.46	Fraction  33.51 min		
0.133	0.0599	32.49			
0.150	0.0599	32.53			
0.167	0.0601	32.61			
0.183	0.0604	32.66			
0.200	0.0605	32.71			
0.217	0.0603	32.76			
0.233	0.0603	32.80			
0.250	0.0603	32.82			
0.267	0.0602	32.85			
0.283	0.0603	32.88			
0.300	0.0603	32.90			
0.317	0.0604	32.94			
0.333	0.0604	32.95			
0.350	0.0604	32.93			
0.367	0.0604	32.95			
0.383	0.0604	32.97			
0.400	0.0604	33.00			
0.417	0.0604	33.04			
0.433	0.0604	33.04			
0.450	0.0604	33.04			
0.467	0.0604	33.07			
0.483	0.0604	33.09			
0.500	0.0604	33.10			
0.517	0.0603	33.07			
0.533	0.0603	33.09			
0.550	0.0603	33.09			
0.567	0.0604	33.10			
0.583	0.0603	33.10			
0.600	0.0603	33.10			
0.617	0.0603	33.12			
0.633	0.0603	33.14			
0.650	0.0603	33.14			
0.667	0.0602	33.15			
0.683	0.0603	33.15			
0.700	0.0603	33.09			
0.717	0.0603	33.11			
0.733	0.0602	33.11			
0.750	0.0602	33.09			
0.767	0.0601	33.11			
0.783	0.0601	33.13			
0.800	0.0601	33.15			
0.817	0.0602	33.13			
0.833	0.0602	33.15			
0.850	0.0601	33.15			
0.867	0.0602	33.15			
0.883	0.0602	33.15			
0.900	0.0602	33.15			
0.917	0.0603	33.15			
0.933	0.0603	33.09			
0.950	0.0603	33.09			
0.967	0.0604	33.11			
0.983	0.0604	33.11			
1.000	0.0603	33.11			
1.017	0.0603	33.13			
1.033	0.0603	33.13			
1.050	0.0602	33.13			
1.067	0.0602	33.11			
1.083	0.0603	33.13			
1.100	0.0603	33.11			
1.117	0.0604	33.13			
1.133	0.0606	33.13			
1.150	0.0610	33.13			
1.167	0.0619	33.13			
1.183	0.0639	33.13			
1.200	0.0666	33.14			
1.217	0.0712	33.14			
1.233	0.0789	33.13			
1.250	0.0875	33.14			
1.267	0.0994	33.16			
1.283	0.1152	33.16			
1.300	0.1302	33.16			
1.317	0.1514	33.16			
1.333	0.1708	33.08			
1.350	0.1812	32.97			
1.367	0.1820	32.92			
1.383	0.1810	32.89			
1.400	0.1805	32.86			
1.417	0.1802	32.84			
1.433	0.1802	32.82			
1.450	0.1804	32.82			
1.467	0.1808	32.81			
1.483	0.1874	32.84			
1.500	0.2064	32.96			
1.517	0.2274	33.03			
1.533	0.2306	33.06			
1.550	0.2574	33.08			
1.567	0.2882	33.08			
1.583	0.3112	33.08			
1.600	0.3274	33.09			
1.617	0.3425	33.09			
1.633	0.3575	33.09			
1.650	0.3803	33.09			
1.667	0.4061	33.09			
1.683	0.4267	33.09			
1.700	0.4431	33.11			
1.717	0.4625	33.11			
1.733	0.4781	33.11			
1.750	0.4942	33.13			
1.767	0.5116	33.13			
1.783	0.5260	33.13			
1.800	0.5410	33.13			
1.817	0.5571	33.14			
1.833	0.5695	33.14			
1.850	0.5831	33.16			
1.867	0.5973	33.16			
1.883	0.6085	33.16			
1.900	0.6218	33.18			
1.917	0.6366	33.18			
1.933	0.6473	33.14			
1.950	0.6591	33.05			
1.967	0.6718	33.05			
1.983	0.6820	33.06			
2.000	0.6927	33.05			
2.017	0.7041	33.05			
2.033	0.7143	33.06			
2.050	0.7265	33.06			
2.067	0.7404	33.06			
2.083	0.7506	33.06			
2.100	0.7610	33.06			
2.117	0.7711	33.01			
2.133	0.7795	33.01			
2.150	0.7878	33.03			
2.167	0.7975	33.03			
2.183	0.8045	33.01			
2.200	0.8126	33.01			
2.217	0.8200	33.01			
2.233	0.8268	33.01			
2.250	0.8352	33.00			
2.267	0.8440	33.00			
2.283	0.8498	33.01			
2.300	0.8573	33.01			
2.317	0.8651	33.01			
2.333	0.8712	33.00			
2.350	0.8784	33.00			
2.367	0.8858	33.00			
2.383	0.8916	33.00			
2.400	0.8956	33.00			
2.417	0.8975	33.00			
2.433	0.9058	33.00			
2.450	0.9138	33.00			
2.467	0.9208	32.98			
2.483	0.9275	32.98			
2.500	0.9394	32.93			
2.517	0.9443	32.94			
2.533	0.9432	32.94			
2.550	0.9447	32.93			
