Methods Information:
10.04.2024 19:00:18
<untitled>  
List:  Volume(ml)       Buffer    ml/min
 ->    0.00 Collect All:  1.00 ml 
01     0.00 to   15.00 BUFFER A     1.00
--------------------------------------------------
--------------------------------------------------
Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:	Events:		
15.950	0.0126	43.03			
15.967	0.0136	42.98			
15.983	0.0148	42.96			
16.000	0.0162	42.98			
16.017	0.0180	42.98			
16.033	0.0201	42.98			
16.050	0.0223	42.98			
16.067	0.0246	42.98			
16.083	0.0270	42.98			
16.100	0.0300	42.96			
16.117	0.0331	42.98			
16.133	0.0363	42.96			
16.150	0.0395	42.98			
16.167	0.0427	42.98			
16.183	0.0462	42.98			
16.200	0.0501	42.98			
16.217	0.0540	42.98			
16.233	0.0578	42.99			
16.250	0.0615	42.98			
16.267	0.0656	42.98			
16.283	0.0698	42.96			
16.300	0.0740	42.98			
16.317	0.0782	42.98			
16.333	0.0823	42.96			
16.350	0.0867	42.98			
16.367	0.0911	42.98			
16.383	0.0955	42.98			
16.400	0.0997	42.98			
16.417	0.1040	42.98			
16.433	0.1086	42.98			
16.450	0.1134	42.96			
16.467	0.1182	42.96			
16.483	0.1227	42.96			
16.500	0.1273	42.96			
16.517	0.1322	42.96			
16.533	0.1375	42.96			
16.550	0.1427	42.96			
16.567	0.1474	42.98			
16.583	0.1521	42.96			
16.600	0.1569	42.96			
16.617	0.1617	42.96			
16.633	0.1660	42.94			
16.650	0.1698	42.96			
16.667	0.1731	42.94			
16.683	0.1761	42.94			
16.700	0.1788	42.94			
16.717	0.1809	42.94			
16.733	0.1824	42.94			
16.750	0.1837	42.96			
16.767	0.1848	42.96			
16.783	0.1856	42.96			
16.800	0.1860	42.98			
16.817	0.1861	42.98			
16.833	0.1861	42.99			
16.850	0.1861	43.01			
16.867	0.1859	43.01			
16.883	0.1856	43.01			
16.900	0.1852	43.02			
16.917	0.1847	43.02			
16.933	0.1842	43.04			
16.950	0.1835	43.06			
16.967	0.1829	43.07			
16.983	0.1822	43.06			
17.000	0.1814	43.07			
17.017	0.1807	43.07			
17.033	0.1799	43.04			
17.050	0.1791	43.04			
17.067	0.1782	43.04			
17.083	0.1774	43.02			
17.100	0.1766	43.01			
17.117	0.1757	42.98			
17.133	0.1748	42.96			
17.150	0.1739	42.82			
17.167	0.1729	42.80			
17.183	0.1719	42.77			
17.200	0.1710	42.74			
17.217	0.1701	42.69			
17.233	0.1691	42.65			
17.250	0.1680	42.62			
17.267	0.1671	42.58			
17.283	0.1662	42.52			
17.300	0.1651	42.49			
17.317	0.1641	42.44			
17.333	0.1632	42.38			
17.350	0.1622	42.32			
17.367	0.1612	42.27			
17.383	0.1602	42.21			
17.400	0.1591	42.14			
17.417	0.1580	42.10			
17.433	0.1570	42.00			
17.450	0.1560	41.95			
17.467	0.1549	41.91			
17.483	0.1539	41.84			
17.500	0.1530	41.78			
17.517	0.1519	41.72			
17.533	0.1507	41.65			
17.550	0.1497	41.58			
17.567	0.1486	41.51			
17.583	0.1475	41.43			
17.600	0.1466	41.37			
17.617	0.1455	41.29			
17.633	0.1445	41.23			
17.650	0.1435	41.17			
17.667	0.1425	41.12			
17.683	0.1414	41.04			
17.700	0.1404	40.99			
17.717	0.1394	40.96			
17.733	0.1384	40.91			
17.750	0.1373	40.85			
17.767	0.1362	40.82			
17.783	0.1353	40.77			
17.800	0.1343	40.72			
17.817	0.1333	40.68			
17.833	0.1323	40.65			
17.850	0.1314	40.61			
17.867	0.1304	40.57			
17.883	0.1295	40.55			
17.900	0.1285	40.50			
17.917	0.1275	40.47			
17.933	0.1267	40.44			
17.950	0.1258	40.41			
17.967	0.1249	40.38			
17.983	0.1240	40.33			
18.000	0.1231	40.30			
18.017	0.1221	40.28			
18.033	0.1212	40.25			
18.050	0.1205	40.24			
18.067	0.1197	40.21			
18.083	0.1188	40.17			
18.100	0.1180	40.14			
18.117	0.1172	40.14			
18.133	0.1164	40.13			
18.150	0.1156	40.08			
18.167	0.1147	40.06			
18.183	0.1140	40.05			
18.200	0.1134	40.02			
18.217	0.1126	40.00			
18.233	0.1119	39.98			
18.250	0.1113	39.95			
18.267	0.1105	39.94			
18.283	0.1097	39.92			
18.300	0.1091	39.91			
18.317	0.1086	39.91			
18.333	0.1078	39.87			
18.350	0.1072	39.87			
18.367	0.1065	39.86			
18.383	0.1059	39.84			
18.400	0.1052	39.83			
18.417	0.1047	39.81			
18.433	0.1042	39.80			
18.450	0.1036	39.78			
18.467	0.1030	39.76			
18.483	0.1024	39.76			
18.500	0.1018	39.75			
18.517	0.1013	39.75			
18.533	0.1008	39.72			
18.550	0.1004	39.73			
18.567	0.0999	39.72			
18.583	0.0994	39.70			
18.600	0.0988	39.70			
18.617	0.0984	39.69			
18.633	0.0979	39.69			
18.650	0.0974	39.67			
18.667	0.0971	39.65			
18.683	0.0967	39.64			
18.700	0.0962	39.62			
18.717	0.0958	39.61			
18.733	0.0955	39.61			
18.750	0.0950	39.61			
18.767	0.0946	39.59			
18.783	0.0942	39.59			
18.800	0.0938	39.59			
18.817	0.0935	39.57			
18.833	0.0931	39.57			
18.850	0.0929	39.56			
18.867	0.0926	39.56			
18.883	0.0922	39.56			
18.900	0.0919	39.54			
18.917	0.0916	39.54			
18.933	0.0913	39.51			
18.950	0.0909	39.51			
18.967	0.0907	39.51			
18.983	0.0905	39.51			
19.000	0.0903	39.50			
19.017	0.0900	39.50			
19.033	0.0898	39.50			
19.050	0.0895	39.48			
19.067	0.0893	39.48			
19.083	0.0891	39.46			
19.100	0.0888	39.46			
19.117	0.0885	39.46			
19.133	0.0883	39.45			
19.150	0.0882	39.45			
19.167	0.0881	39.45			
19.183	0.0878	39.45			
19.200	0.0876	39.43			
19.217	0.0875	39.45			
19.233	0.0874	39.43			
19.250	0.0872	39.43			
19.267	0.0870	39.43			
19.283	0.0868	39.42			
19.300	0.0867	39.42			
19.317	0.0866	39.42			
19.333	0.0865	39.42			
19.350	0.0864	39.42			
19.367	0.0862	39.42			
19.383	0.0861	39.42			
19.400	0.0861	39.40			
19.417	0.0860	39.40			
19.433	0.0859	39.40			
19.450	0.0858	39.40			
19.467	0.0857	39.40			
19.483	0.0855	39.40			
19.500	0.0854	39.39			
19.517	0.0854	39.40			
19.533	0.0853	39.40			
19.550	0.0852	39.39			
19.567	0.0851	39.39			
19.583	0.0850	39.39			
19.600	0.0850	39.37			
19.617	0.0850	39.39			
19.633	0.0850	39.39			
19.650	0.0848	39.37			
19.667	0.0847	39.39			
19.683	0.0847	39.37			
19.700	0.0847	39.39			
19.717	0.0846	39.37			
19.733	0.0845	39.37			
19.750	0.0845	39.37			
19.767	0.0844	39.37			
19.783	0.0845	39.37			
19.800	0.0845	39.37			
19.817	0.0845	39.37			
19.833	0.0844	39.37			
19.850	0.0843	39.37			
19.867	0.0842	39.37			
19.883	0.0842	39.37			
19.900	0.0841	39.37			
19.917	0.0841	39.37			
19.933	0.0841	39.35			
19.950	0.0841	39.37			
19.967	0.0840	39.37			
19.983	0.0840	39.35			
20.000	0.0840	39.35			
20.017	0.0839	39.35			
20.033	0.0839	39.35			
20.050	0.0839	39.37			
20.067	0.0837	39.37			
20.083	0.0837	39.35			
20.100	0.0837	39.35			
20.117	0.0837	39.37			
20.133	0.0838	39.37			
20.150	0.0838	39.37			
20.167	0.0838	39.37			
20.183	0.0837	39.37			
20.200	0.0837	39.35			
20.217	0.0836	39.35			
20.233	0.0835	39.35			
20.250	0.0835	39.35			
20.267	0.0835	39.35			
20.283	0.0835	39.37			
20.300	0.0835	39.37			
20.317	0.0835	39.37			
20.333	0.0834	39.37			
20.350	0.0834	39.37			
20.367	0.0833	39.37			
20.383	0.0834	39.35			
20.400	0.0834	39.35			
20.417	0.0834	39.35			
20.433	0.0833	39.37			
20.450	0.0833	39.35			
20.467	0.0832	39.35			
20.483	0.0832	39.35			
20.500	0.0831	39.35			
20.517	0.0832	39.35			
20.533	0.0831	39.35			
20.550	0.0829	39.35			
20.567	0.0829	39.35			
20.583	0.0829	39.35			
20.600	0.0830	39.35			
20.617	0.0830	39.35			
20.633	0.0829	39.35			
20.650	0.0828	39.35			
20.667	0.0828	39.35			
20.683	0.0827	39.35			
20.700	0.0826	39.35			
20.717	0.0826	39.35			
20.733	0.0827	39.35			
20.750	0.0826	39.35			
20.767	0.0826	39.35			
20.783	0.0825	39.35			
20.800	0.0825	39.35			
20.817	0.0824	39.34			
20.833	0.0825	39.35			
20.850	0.0824	39.35			
20.867	0.0824	39.35			
20.883	0.0823	39.35			
20.900	0.0823	39.35			
20.917	0.0822	39.35			
20.933	0.0822	39.34			
20.950	0.0822	39.35			
20.967	0.0821	39.37			
20.983	0.0821	39.35			
21.000	0.0821	39.37			
21.017	0.0820	39.35			
21.033	0.0819	39.35			
21.050	0.0818	39.35			
21.067	0.0818	39.35			
21.083	0.0818	39.37			
21.100	0.0818	39.35			
21.117	0.0818	39.30			
21.133	0.0818	39.35			
21.150	0.0817	39.35			
21.167	0.0816	39.37			
21.183	0.0816	39.35			
21.200	0.0816	39.35			
21.217	0.0816	39.35			
21.233	0.0816	39.35			
21.250	0.0815	39.37			
21.267	0.0815	39.35			
21.283	0.0815	39.35			
21.300	0.0815	39.29			
21.317	0.0814	39.37			
21.333	0.0813	39.37			
21.350	0.0812	39.35			
21.367	0.0812	39.35			
21.383	0.0813	39.35			
21.400	0.0812	39.35			
21.417	0.0812	39.35			
21.433	0.0811	39.35			
21.450	0.0811	39.37			
21.467	0.0810	39.37			
21.483	0.0810	39.35			
21.500	0.0809	39.35			
21.517	0.0809	39.35			
21.533	0.0809	39.35			
21.550	0.0808	39.35			
21.567	0.0808	39.35			
21.583	0.0808	39.35			
21.600	0.0809	39.35			
21.617	0.0808	39.37			
21.633	0.0807	39.37			
21.650	0.0807	39.37			
21.667	0.0807	39.29			
21.683	0.0807	39.35			
21.700	0.0806	39.35			
21.717	0.0806	39.37			
21.733	0.0805	39.30			
21.750	0.0805	39.29			
21.767	0.0805	39.30			
21.783	0.0805	39.29			
21.800	0.0805	39.35			
21.817	0.0805	39.37			
21.833	0.0805	39.37			
21.850	0.0805	39.29			
21.867	0.0804	39.29			
21.883	0.0803	39.29			
21.900	0.0803	39.29			
21.917	0.0802	39.27			
21.933	0.0802	39.35			
21.950	0.0802	39.35			
21.967	0.0802	39.27			
21.983	0.0802	39.35			
22.000	0.0802	39.37			
22.017	0.0802	39.35			
22.033	0.0802	39.29			
22.050	0.0802	39.29			
22.067	0.0802	39.35			
22.083	0.0801	39.29			
22.100	0.0800	39.35			
22.117	0.0800	39.34			
22.133	0.0801	39.27			
22.150	0.0802	39.26			
22.167	0.0801	39.27			
22.183	0.0801	39.26			
22.200	0.0801	39.32			
22.217	0.0800	39.35			
22.233	0.0800	39.35			
22.250	0.0800	39.27			
22.267	0.0798	39.27			
22.283	0.0798	39.27			
22.300	0.0798	39.27			
22.317	0.0798	39.34			
22.333	0.0798	39.29			
22.350	0.0798	39.27			
22.367	0.0798	39.34			
22.383	0.0798	39.34			
22.400	0.0798	39.34			
22.417	0.0798	39.34			
22.433	0.0798	39.27			
22.450	0.0797	39.27			
22.467	0.0796	39.35			
22.483	0.0797	39.34			
22.500	0.0797	39.29			
22.517	0.0797	39.35			
22.533	0.0796	39.34			
22.550	0.0797	39.27			
22.567	0.0796	39.34			
22.583	0.0796	39.34			
22.600	0.0796	39.34			
22.617	0.0796	39.34			
22.633	0.0795	39.34			
22.650	0.0797	39.27			
22.667	0.0797	39.34			
22.683	0.0796	39.34			
22.700	0.0795	39.32			
22.717	0.0795	39.26			
22.733	0.0795	39.27			
22.750	0.0795	39.34			
22.767	0.0794	39.32			
22.783	0.0795	39.34			
22.800	0.0795	39.34			
22.817	0.0795	39.34			
22.833	0.0795	39.34			
22.850	0.0794	39.34			
22.867	0.0795	39.34			
22.883	0.0794	39.34			
22.900	0.0794	39.34			
22.917	0.0794	39.34			
22.933	0.0794	39.27			
22.950	0.0793	39.34			
22.967	0.0793	39.34			
22.983	0.0792	39.34			
23.000	0.0792	39.34			
23.017	0.0792	39.34			
23.033	0.0793	39.34			
23.050	0.0793	39.32			
23.067	0.0793	39.34			
23.083	0.0794	39.35			
23.100	0.0793	39.34			
23.117	0.0793	39.34			
23.133	0.0793	39.32			
23.150	0.0794	39.35			
23.167	0.0794	39.35			
23.183	0.0793	39.34			
23.200	0.0793	39.34			
23.217	0.0792	39.34			
23.233	0.0791	39.35			
23.250	0.0791	39.34			
23.267	0.0791	39.27			
23.283	0.0791	39.27			
23.300	0.0791	39.27			
23.317	0.0792	39.34			
23.333	0.0793	39.34			
23.350	0.0792	39.34			
23.367	0.0791	39.34			
23.383	0.0791	39.26			
23.400	0.0791	39.32			
23.417	0.0792	39.34			
23.433	0.0791	39.26			
23.450	0.0791	39.34			
23.467	0.0791	39.34			
23.483	0.0789	39.34			
23.500	0.0789	39.34			
23.517	0.0789	39.34			
23.533	0.0789	39.27			
23.550	0.0789	39.34			
23.567	0.0790	39.34			
23.583	0.0789	39.27			
23.600	0.0789	39.34			
23.617	0.0789	39.34			
23.633	0.0790	39.34			
23.650	0.0790	39.27			
23.667	0.0790	39.27			
23.683	0.0789	39.35			
23.700	0.0789	39.27			
23.717	0.0789	39.27			
23.733	0.0789	39.35			
23.750	0.0789	39.35			
23.767	0.0788	39.29			
23.783	0.0787	39.35			
23.800	0.0787	39.27			
23.817	0.0788	39.34			
23.833	0.0789	39.27			
23.850	0.0789	39.27			
23.867	0.0788	39.34			
23.883	0.0788	39.29			
23.900	0.0788	39.29			
23.917	0.0788	39.27			
23.933	0.0788	39.27			
23.950	0.0787	39.29			
23.967	0.0787	39.27			
23.983	0.0787	39.27			
24.000	0.0787	39.27			
24.017	0.0788	39.34			
24.033	0.0788	39.27			
24.050	0.0788	39.27			
24.067	0.0787	39.26			
24.083	0.0787	39.27			
24.100	0.0788	39.34			
24.117	0.0788	39.27			
24.133	0.0787	39.27			
24.150	0.0787	39.26			
24.167	0.0787	39.32			
24.183	0.0786	39.26			
24.200	0.0786	39.27			
24.217	0.0785	39.27			
24.233	0.0786	39.26			
24.250	0.0786	39.26			
24.267	0.0786	39.26			
24.283	0.0786	39.26			
24.300	0.0787	39.26			
24.317	0.0787	39.27			
24.333	0.0787	39.27			
24.350	0.0787	39.26			
24.367	0.0786	39.26			
24.383	0.0786	39.26			
24.400	0.0786	39.26			
24.417	0.0786	39.26			
24.433	0.0787	39.26			
24.450	0.0787	39.26			
24.467	0.0787	39.26			
24.483	0.0786	39.26			
24.500	0.0787	39.24			
24.517	0.0786	39.24			
24.533	0.0786	39.26			
24.550	0.0786	39.26			
24.567	0.0785	39.26			
24.583	0.0784	39.31			
24.600	0.0785	39.32			
24.617	0.0785	39.24			
24.633	0.0785	39.24			
24.650	0.0785	39.32			
24.667	0.0784	39.26			
24.683	0.0784	39.26			
24.700	0.0785	39.32			
24.717	0.0786	39.26			
24.733	0.0785	39.26			
24.750	0.0785	39.32			
24.767	0.0786	39.26			
24.783	0.0786	39.32			
24.800	0.0785	39.32			
24.817	0.0785	39.26			
24.833	0.0785	39.26			
24.850	0.0785	39.26			
24.867	0.0784	39.26			
24.883	0.0783	39.26			
24.900	0.0784	39.32			
24.917	0.0784	39.32			
24.933	0.0784	39.26			
24.950	0.0785	39.26			
24.967	0.0785	39.26			
24.983	0.0785	39.26			
25.000	0.0784	39.32			
25.017	0.0784	39.26			
25.033	0.0783	39.32			
25.050	0.0783	39.27			
25.067	0.0783	39.32			
25.083	0.0784	39.26			
25.100	0.0784	39.32			
25.117	0.0783	39.26			
25.133	0.0783	39.26			
25.150	0.0783	39.26			
25.167	0.0784	39.31			
25.183	0.0784	39.24			
25.200	0.0783	39.24			
25.217	0.0783	39.26			
25.233	0.0783	39.32			
25.250	0.0783	39.26			
25.267	0.0784	39.31			
25.283	0.0785	39.26			
25.300	0.0784	39.26			
25.317	0.0783	39.32			
25.333	0.0782	39.32			
25.350	0.0783	39.24			
25.367	0.0782	39.31			
25.383	0.0781	39.24			
25.400	0.0781	39.26			
25.417	0.0782	39.26			
25.433	0.0782	39.31			
25.450	0.0782	39.24			
25.467	0.0782	39.26			
25.483	0.0782	39.24			
25.500	0.0781	39.24			
25.517	0.0782	39.24			
25.533	0.0783	39.32			
25.550	0.0784	39.32			
25.567	0.0784	39.31			
25.583	0.0783	39.24			
25.600	0.0783	39.31			
25.617	0.0782	39.32			
25.633	0.0782	39.32			
25.650	0.0782	39.31			
25.667	0.0782	39.32			
25.683	0.0782	39.32			
25.700	0.0782	39.31			
25.717	0.0783	39.31			
25.733	0.0783	39.31			
25.750	0.0782	39.31			
25.767	0.0782	39.32			
25.783	0.0782	39.24			
25.800	0.0782	39.31			
25.817	0.0782	39.24			
25.833	0.0782	39.31			
25.850	0.0781	39.31			
25.867	0.0781	39.29			
25.883	0.0782	39.31			
25.900	0.0782	39.32			
25.917	0.0782	39.31			
25.933	0.0782	39.29			
25.950	0.0782	39.29			
25.967	0.0781	39.29			
25.983	0.0781	39.29			
26.000	0.0781	39.29			
26.017	0.0781	39.31			
26.033	0.0781	39.29			
26.050	0.0780	39.29			
26.067	0.0780	39.29			
26.083	0.0780	39.29			
26.100	0.0780	39.22			
26.117	0.0781	39.29			
26.133	0.0781	39.31			
26.150	0.0781	39.31			
26.167	0.0781	39.32			
26.183	0.0781	39.31			
26.200	0.0781	39.31			
26.217	0.0781	39.31			
26.233	0.0781	39.31			
26.250	0.0781	39.31			
26.267	0.0781	39.31			
26.283	0.0781	39.31			
26.300	0.0780	39.31			
26.317	0.0780	39.31			
