Methods Information:
09.04.2024 19:37:06
<untitled>  
List:  Volume(ml)       Buffer    ml/min
 ->    0.00 Collect All:  1.00 ml 
01     0.00 to   15.00 BUFFER A     1.00
--------------------------------------------------
--------------------------------------------------
Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:	Events:		
15.417	0.2828	28.05			
15.433	0.2828	28.06			
15.450	0.2830	28.06			
15.467	0.2833	28.06			
15.483	0.2837	28.08			
15.500	0.2842	28.08			
15.517	0.2849	28.09			
15.533	0.2856	28.09			
15.550	0.2862	28.09			
15.567	0.2868	28.09			
15.583	0.2874	28.09			
15.600	0.2878	28.09			
15.617	0.2881	28.11			
15.633	0.2884	28.09			
15.650	0.2887	28.08			
15.667	0.2890	28.11			
15.683	0.2892	28.12			
15.700	0.2894	28.12			
15.717	0.2896	28.12			
15.733	0.2898	28.12			
15.750	0.2899	28.12			
15.767	0.2900	28.12			
15.783	0.2900	28.07			
15.800	0.2901	28.07			
15.817	0.2902	28.07			
15.833	0.2903	28.14			
15.850	0.2904	28.09			
15.867	0.2905	28.09			
15.883	0.2905	28.09			
15.900	0.2906	28.09			
15.917	0.2907	28.10			
15.933	0.2907	28.09			
15.950	0.2908	28.10			
15.967	0.2908	28.10			
15.983	0.2908	28.10			
16.000	0.2910	28.10			
16.017	0.2910	28.10			
16.033	0.2910	28.10			
16.050	0.2910	28.10			
16.067	0.2910	28.12			
16.083	0.2910	28.09			
16.100	0.2911	28.12			
16.117	0.2912	28.10			
16.133	0.2913	28.09			
16.150	0.2913	28.10			
16.167	0.2914	28.10			
16.183	0.2913	28.10			
16.200	0.2914	28.09			
16.217	0.2915	28.09			
16.233	0.2915	28.10			
16.250	0.2913	28.09			
16.267	0.2911	28.09			
16.283	0.2907	28.09			
16.300	0.2902	28.10			
16.317	0.2893	28.10			
16.333	0.2881	28.10			
16.350	0.2868	28.09			
16.367	0.2853	28.09			
16.383	0.2836	28.10			
16.400	0.2817	28.10			
16.417	0.2797	28.09			
16.433	0.2777	28.09			
16.450	0.2755	28.10			
16.467	0.2732	28.12			
16.483	0.2708	28.10			
16.500	0.2685	28.10			
16.517	0.2661	28.10			
16.533	0.2635	28.10			
16.550	0.2609	28.12			
16.567	0.2583	28.10			
16.583	0.2556	28.12			
16.600	0.2529	28.12			
16.617	0.2504	28.13			
16.633	0.2479	28.13			
16.650	0.2455	28.12			
16.667	0.2431	28.12			
16.683	0.2408	28.12			
16.700	0.2384	28.13			
16.717	0.2360	28.13			
16.733	0.2339	28.12			
16.750	0.2319	28.12			
16.767	0.2298	28.13			
16.783	0.2278	28.13			
16.800	0.2256	28.13			
16.817	0.2236	28.13			
16.833	0.2216	28.13			
16.850	0.2198	28.15			
16.867	0.2181	28.15			
16.883	0.2162	28.15			
16.900	0.2145	28.13			
16.917	0.2126	28.15			
16.933	0.2108	28.15			
16.950	0.2090	28.15			
16.967	0.2074	28.15			
16.983	0.2056	28.15			
17.000	0.2038	28.16			
17.017	0.2021	28.18			
17.033	0.2004	28.16			
17.050	0.1987	28.15			
17.067	0.1969	28.15			
17.083	0.1952	28.15			
17.100	0.1935	28.13			
17.117	0.1916	28.15			
17.133	0.1899	28.13			
17.150	0.1883	28.13			
17.167	0.1867	28.13			
17.183	0.1850	28.12			
17.200	0.1835	28.10			
17.217	0.1820	28.10			
17.233	0.1806	28.10			
17.250	0.1792	28.09			
17.267	0.1780	28.09			
17.283	0.1768	28.07			
17.300	0.1756	28.06			
17.317	0.1746	28.04			
17.333	0.1736	28.03			
17.350	0.1727	28.01			
17.367	0.1719	28.00			
17.383	0.1713	27.98			
17.400	0.1706	27.95			
17.417	0.1700	27.92			
17.433	0.1696	27.91			
17.450	0.1691	27.88			
17.467	0.1688	27.88			
17.483	0.1686	27.85			
17.500	0.1686	27.82			
17.517	0.1686	27.79			
17.533	0.1686	27.77			
17.550	0.1687	27.74			
17.567	0.1689	27.71			
17.583	0.1693	27.67			
17.600	0.1697	27.65			
17.617	0.1703	27.64			
17.633	0.1709	27.61			
17.650	0.1716	27.56			
17.667	0.1724	27.55			
17.683	0.1733	27.50			
17.700	0.1743	27.47			
17.717	0.1753	27.44			
17.733	0.1762	27.41			
17.750	0.1769	27.38			
17.767	0.1775	27.30			
17.783	0.1783	27.32			
17.800	0.1789	27.23			
17.817	0.1791	27.18			
17.833	0.1791	27.15			
17.850	0.1788	27.14			
17.867	0.1782	27.11			
17.883	0.1771	27.06			
17.900	0.1758	27.03			
17.917	0.1740	27.00			
17.933	0.1718	26.97			
17.950	0.1693	26.94			
17.967	0.1665	26.91			
17.983	0.1635	26.88			
18.000	0.1604	26.85			
18.017	0.1569	26.84			
18.033	0.1533	26.81			
18.050	0.1500	26.78			
18.067	0.1466	26.75			
18.083	0.1432	26.72			
18.100	0.1397	26.72			
18.117	0.1363	26.67			
18.133	0.1331	26.66			
18.150	0.1301	26.64			
18.167	0.1270	26.63			
18.183	0.1239	26.60			
18.200	0.1209	26.58			
18.217	0.1183	26.57			
18.233	0.1157	26.55			
18.250	0.1131	26.54			
18.267	0.1106	26.51			
18.283	0.1081	26.51			
18.300	0.1058	26.51			
18.317	0.1037	26.48			
18.333	0.1015	26.46			
18.350	0.0995	26.46			
18.367	0.0974	26.45			
18.383	0.0955	26.43			
18.400	0.0937	26.43			
18.417	0.0919	26.42			
18.433	0.0901	26.40			
18.450	0.0884	26.39			
18.467	0.0867	26.39			
18.483	0.0851	26.37			
18.500	0.0836	26.37			
18.517	0.0821	26.36			
18.533	0.0806	26.36			
18.550	0.0791	26.34			
18.567	0.0777	26.33			
18.583	0.0764	26.33			
18.600	0.0751	26.33			
18.617	0.0738	26.31			
18.633	0.0725	26.31			
18.650	0.0714	26.31			
18.667	0.0702	26.30			
18.683	0.0690	26.28			
18.700	0.0679	26.28			
18.717	0.0668	26.28			
18.733	0.0657	26.27			
18.750	0.0647	26.27			
18.767	0.0637	26.27			
18.783	0.0627	26.25			
18.800	0.0618	26.24			
18.817	0.0608	26.24			
18.833	0.0599	26.24			
18.850	0.0590	26.24			
18.867	0.0581	26.22			
18.883	0.0572	26.22			
18.900	0.0563	26.24			
18.917	0.0556	26.22			
18.933	0.0547	26.21			
18.950	0.0540	26.21			
18.967	0.0533	26.21			
18.983	0.0526	26.19			
19.000	0.0519	26.19			
19.017	0.0512	26.19			
19.033	0.0504	26.19			
19.050	0.0497	26.19			
19.067	0.0491	26.19			
19.083	0.0485	26.18			
19.100	0.0478	26.18			
19.117	0.0472	26.18			
19.133	0.0467	26.18			
19.150	0.0461	26.16			
19.167	0.0456	26.16			
19.183	0.0449	26.16			
19.200	0.0443	26.16			
19.217	0.0439	26.15			
19.233	0.0434	26.15			
19.250	0.0430	26.15			
19.267	0.0425	26.15			
19.283	0.0420	26.15			
19.300	0.0415	26.13			
19.317	0.0410	26.15			
19.333	0.0406	26.15			
19.350	0.0401	26.13			
19.367	0.0397	26.13			
19.383	0.0393	26.13			
19.400	0.0388	26.13			
19.417	0.0384	26.13			
19.433	0.0380	26.13			
19.450	0.0376	26.13			
19.467	0.0372	26.12			
19.483	0.0368	26.12			
19.500	0.0365	26.12			
19.517	0.0361	26.12			
19.533	0.0358	26.12			
19.550	0.0355	26.12			
19.567	0.0351	26.12			
19.583	0.0347	26.10			
19.600	0.0344	26.10			
19.617	0.0341	26.10			
19.633	0.0339	26.10			
19.650	0.0336	26.10			
19.667	0.0333	26.09			
19.683	0.0329	26.09			
19.700	0.0326	26.10			
19.717	0.0324	26.10			
19.733	0.0321	26.09			
19.750	0.0319	26.09			
19.767	0.0316	26.09			
19.783	0.0314	26.09			
19.800	0.0311	26.09			
19.817	0.0309	26.07			
19.833	0.0307	26.06			
19.850	0.0304	26.07			
19.867	0.0301	26.09			
19.883	0.0299	26.07			
19.900	0.0297	26.09			
19.917	0.0294	26.07			
19.933	0.0292	26.07			
19.950	0.0291	26.09			
19.967	0.0289	26.07			
19.983	0.0287	26.09			
20.000	0.0283	26.07			
20.017	0.0281	26.07			
20.033	0.0280	26.07			
20.050	0.0279	26.07			
20.067	0.0277	26.09			
20.083	0.0275	26.09			
20.100	0.0273	26.07			
20.117	0.0272	26.07			
20.133	0.0270	26.07			
20.150	0.0268	26.07			
20.167	0.0266	26.09			
20.183	0.0265	26.07			
20.200	0.0262	26.07			
20.217	0.0261	26.07			
20.233	0.0259	26.07			
20.250	0.0258	26.07			
20.267	0.0256	26.07			
20.283	0.0255	26.07			
20.300	0.0253	26.07			
20.317	0.0252	26.07			
20.333	0.0251	26.07			
20.350	0.0251	26.07			
20.367	0.0249	26.09			
20.383	0.0247	26.07			
20.400	0.0245	26.07			
20.417	0.0243	26.07			
20.433	0.0242	26.06			
20.450	0.0241	26.06			
20.467	0.0241	26.07			
20.483	0.0240	26.07			
20.500	0.0239	26.07			
20.517	0.0237	26.09			
20.533	0.0235	26.06			
20.550	0.0235	26.07			
20.567	0.0234	26.07			
20.583	0.0233	26.07			
20.600	0.0232	26.07			
20.617	0.0231	26.09			
20.633	0.0230	26.07			
20.650	0.0228	26.07			
20.667	0.0227	26.06			
20.683	0.0226	26.07			
20.700	0.0225	26.07			
20.717	0.0224	26.09			
20.733	0.0224	26.07			
20.750	0.0223	26.07			
20.767	0.0222	26.07			
20.783	0.0221	26.06			
20.800	0.0220	26.07			
20.817	0.0219	26.06			
20.833	0.0218	26.06			
20.850	0.0217	26.07			
20.867	0.0216	26.06			
20.883	0.0215	26.07			
20.900	0.0215	26.07			
20.917	0.0214	26.07			
20.933	0.0213	26.07			
20.950	0.0212	26.07			
20.967	0.0211	26.06			
20.983	0.0211	26.06			
21.000	0.0210	26.06			
21.017	0.0209	26.06			
21.033	0.0209	26.07			
21.050	0.0208	26.07			
21.067	0.0207	26.06			
21.083	0.0206	26.06			
21.100	0.0205	26.04			
21.117	0.0203	26.06			
21.133	0.0204	26.07			
21.150	0.0204	26.07			
21.167	0.0203	26.06			
21.183	0.0203	26.06			
21.200	0.0203	26.07			
21.217	0.0201	26.07			
21.233	0.0201	26.06			
21.250	0.0200	26.06			
21.267	0.0199	26.06			
21.283	0.0198	26.06			
21.300	0.0198	26.06			
21.317	0.0198	26.06			
21.333	0.0197	26.06			
21.350	0.0197	26.07			
21.367	0.0196	26.07			
21.383	0.0194	26.06			
21.400	0.0194	26.06			
21.417	0.0194	26.07			
21.433	0.0194	26.07			
21.450	0.0194	26.06			
21.467	0.0193	26.06			
21.483	0.0192	26.06			
21.500	0.0192	26.06			
21.517	0.0191	26.07			
21.533	0.0191	26.07			
21.550	0.0191	26.06			
21.567	0.0191	26.07			
21.583	0.0190	26.07			
21.600	0.0189	26.07			
21.617	0.0188	26.06			
21.633	0.0188	26.07			
21.650	0.0188	26.07			
21.667	0.0187	26.06			
21.683	0.0186	26.06			
21.700	0.0186	26.07			
21.717	0.0185	26.06			
21.733	0.0184	26.06			
21.750	0.0185	26.06			
21.767	0.0185	26.06			
21.783	0.0185	26.06			
21.800	0.0184	26.07			
21.817	0.0184	26.07			
21.833	0.0183	26.06			
21.850	0.0182	26.06			
21.867	0.0182	26.06			
21.883	0.0182	26.07			
21.900	0.0181	26.06			
21.917	0.0182	26.04			
21.933	0.0181	26.06			
21.950	0.0180	26.06			
21.967	0.0179	26.06			
21.983	0.0179	26.06			
22.000	0.0180	26.06			
22.017	0.0180	26.06			
22.033	0.0180	26.06			
22.050	0.0179	26.06			
22.067	0.0179	26.06			
22.083	0.0177	26.06			
22.100	0.0177	26.06			
22.117	0.0178	26.07			
22.133	0.0178	26.06			
22.150	0.0177	26.06			
22.167	0.0176	26.06			
22.183	0.0176	26.07			
22.200	0.0175	26.07			
22.217	0.0175	26.07			
22.233	0.0175	26.06			
22.250	0.0175	26.06			
22.267	0.0174	26.06			
22.283	0.0174	26.06			
22.300	0.0174	26.06			
22.317	0.0174	26.06			
22.333	0.0174	26.07			
22.350	0.0173	26.06			
22.367	0.0173	26.06			
22.383	0.0173	26.06			
22.400	0.0172	26.06			
22.417	0.0172	26.06			
22.433	0.0172	26.06			
22.450	0.0171	26.06			
22.467	0.0171	26.06			
22.483	0.0170	26.06			
22.500	0.0170	26.06			
22.517	0.0171	26.07			
22.533	0.0171	26.06			
22.550	0.0170	26.06			
22.567	0.0170	26.06			
22.583	0.0170	26.06			
22.600	0.0171	26.06			
22.617	0.0172	26.04			
22.633	0.0173	26.01			
22.650	0.0173	26.01			
22.667	0.0173	26.01			
22.683	0.0173	26.00			
22.700	0.0173	25.98			
22.717	0.0173	26.00			
22.733	0.0172	26.00			
22.750	0.0171	25.98			
22.767	0.0171	26.00			
22.783	0.0172	25.98			
22.800	0.0172	25.98			
22.817	0.0172	25.98			
22.833	0.0172	25.97			
22.850	0.0172	25.97			
22.867	0.0173	25.97			
22.883	0.0173	25.97			
22.900	0.0173	25.97			
22.917	0.0172	25.97			
22.933	0.0172	25.95			
22.950	0.0172	25.95			
22.967	0.0173	25.95			
22.983	0.0173	25.95			
23.000	0.0172	25.95			
23.017	0.0172	25.94			
23.033	0.0172	25.98			
23.050	0.0172	25.98			
23.067	0.0173	25.98			
23.083	0.0173	25.98			
23.100	0.0173	25.98			
23.117	0.0172	25.98			
23.133	0.0171	25.98			
23.150	0.0171	25.98			
23.167	0.0172	25.97			
23.183	0.0171	25.97			
23.200	0.0171	25.97			
23.217	0.0171	25.97			
23.233	0.0171	25.97			
23.250	0.0172	25.97			
23.267	0.0171	25.97			
23.283	0.0171	25.98			
23.300	0.0172	25.97			
23.317	0.0172	25.97			
23.333	0.0171	25.97			
23.350	0.0171	25.97			
23.367	0.0171	25.97			
23.383	0.0172	25.95			
23.400	0.0171	25.95			
23.417	0.0171	25.97			
23.433	0.0171	25.97			
23.450	0.0172	25.97			
23.467	0.0172	25.95			
23.483	0.0172	25.95			
23.500	0.0171	25.97			
23.517	0.0171	25.95			
23.533	0.0172	25.95			
23.550	0.0173	25.95			
23.567	0.0172	25.94			
23.583	0.0172	25.95			
23.600	0.0172	25.94			
23.617	0.0172	25.94			
23.633	0.0172	25.94			
23.650	0.0171	25.94			
23.667	0.0171	25.94			
23.683	0.0172	25.94			
23.700	0.0172	25.92			
23.717	0.0171	25.92			
23.733	0.0170	25.94			
23.750	0.0171	25.92			
23.767	0.0171	25.92			
23.783	0.0171	25.94			
23.800	0.0171	25.95			
23.817	0.0171	25.94			
23.833	0.0172	25.92			
23.850	0.0171	25.89			
23.867	0.0171	25.91			
23.883	0.0171	25.92			
23.900	0.0171	25.92			
23.917	0.0171	25.92			
23.933	0.0175	25.92			
23.950	0.0180	25.92			
23.967	0.0183	25.91			
23.983	0.0181	25.89			
24.000	0.0178	25.89			
24.017	0.0177	25.88			
24.033	0.0176	25.88			
24.050	0.0175	25.88			
24.067	0.0175	25.88			
24.083	0.0176	25.88			
24.100	0.0177	25.88			
24.117	0.0181	25.89			
24.133	0.0184	25.89			
24.150	0.0186	25.91			
24.167	0.0188	25.91			
24.183	0.0189	25.92			
24.200	0.0190	25.92			
24.217	0.0190	25.92			
24.233	0.0190	25.92			
24.250	0.0190	25.94			
24.267	0.0190	25.95			
24.283	0.0190	25.95			
24.300	0.0190	25.97			
24.317	0.0190	25.97			
24.333	0.0190	25.98			
24.350	0.0190	25.98			
24.367	0.0189	26.00			
24.383	0.0189	26.00			
24.400	0.0187	26.02			
24.417	0.0186	26.02			
24.433	0.0183	26.02			
24.450	0.0182	26.02			
24.467	0.0181	26.03			
24.483	0.0179	26.05			
24.500	0.0178	26.05			
24.517	0.0176	26.05			
24.533	0.0175	26.05			
24.550	0.0175	26.06			
24.567	0.0174	26.06			
24.583	0.0172	26.08			
24.600	0.0171	26.08			
24.617	0.0170	26.09			
24.633	0.0170	26.09			
24.650	0.0170	26.09			
24.667	0.0168	26.09			
24.683	0.0168	26.09			
24.700	0.0167	26.11			
24.717	0.0167	26.09			
24.733	0.0167	26.11			
24.750	0.0168	26.11			
24.767	0.0167	26.11			
24.783	0.0165	26.11			
24.800	0.0165	26.11			
24.817	0.0164	26.12			
24.833	0.0164	26.12			
24.850	0.0163	26.11			
24.867	0.0163	26.12			
24.883	0.0164	26.14			
24.900	0.0164	26.14			
24.917	0.0163	26.07			
24.933	0.0162	26.07			
24.950	0.0162	26.09			
24.967	0.0162	26.09			
24.983	0.0162	26.09			
25.000	0.0162	26.07			
25.017	0.0162	26.09			
25.033	0.0162	26.07			
25.050	0.0161	26.09			
25.067	0.0162	26.09			
25.083	0.0162	26.10			
25.100	0.0162	26.10			
25.117	0.0162	26.09			
25.133	0.0162	26.07			
25.150	0.0162	26.09			
25.167	0.0162	26.10			
25.183	0.0162	26.09			
25.200	0.0162	26.09			
25.217	0.0162	26.09			
25.233	0.0163	26.10			
25.250	0.0163	26.09			
25.267	0.0163	26.09			
25.283	0.0164	26.09			
25.300	0.0165	26.09			
25.317	0.0166	26.09			
25.333	0.0168	26.09			
25.350	0.0172	26.09			
25.367	0.0176	26.09			
25.383	0.0181	26.09			
25.400	0.0187	26.09			
25.417	0.0196	26.09			
25.433	0.0206	26.09			
25.450	0.0220	26.09			
25.467	0.0238	26.07			
25.483	0.0258	26.07			
25.500	0.0282	26.09			
25.517	0.0309	26.09			
25.533	0.0340	26.09			
25.550	0.0376	26.07			
25.567	0.0417	26.09			
25.583	0.0461	26.09			
25.600	0.0509	26.07			
25.617	0.0562	26.07			
25.633	0.0621	26.09			
25.650	0.0683	26.07			
25.667	0.0749	26.09			
25.683	0.0820	26.09			
25.700	0.0894	26.09			
25.717	0.0970	26.07			
25.733	0.1049	26.07			
25.750	0.1130	26.07			
25.767	0.1216	26.07			
25.783	0.1304	26.03			
25.800	0.1393	26.03			
25.817	0.1485	26.07			
25.833	0.1579	26.03			
25.850	0.1679	26.03			
25.867	0.1779	26.03			
25.883	0.1879	26.04			
25.900	0.1982	26.03			
25.917	0.2086	26.03			
25.933	0.2194	26.04			
25.950	0.2303	26.04			
25.967	0.2409	26.04			
25.983	0.2514	26.06			
26.000	0.2618	26.07			
26.017	0.2726	26.07			
26.033	0.2834	26.09			
26.050	0.2938	26.10			
26.067	0.3035	26.13			
26.083	0.3129	26.15			
26.100	0.3225	26.16			
26.117	0.3316	26.18			
26.133	0.3400	26.22			
26.150	0.3472	26.25			
26.167	0.3541	26.30			
26.183	0.3607	26.34			
26.200	0.3663	26.37			
26.217	0.3708	26.43			
26.233	0.3741	26.48			
26.250	0.3767	26.52			
26.267	0.3792	26.58			
26.283	0.3807	26.64			
26.300	0.3806	26.70			
26.317	0.3792	26.76			
26.333	0.3774	26.82			
26.350	0.3750	26.89			
26.367	0.3715	26.97			
26.383	0.3673	27.06			
26.400	0.3626	27.13			
26.417	0.3574	27.21			
26.433	0.3521	27.30			
26.450	0.3465	27.39			
26.467	0.3404	27.49			
26.483	0.3339	27.57			
26.500	0.3273	27.67			
26.517	0.3208	27.78			
26.533	0.3143	27.90			
26.550	0.3076	28.00			
26.567	0.3009	28.12			
26.583	0.2943	28.21			
26.600	0.2876	28.30			
26.617	0.2813	28.41			
26.633	0.2752	28.50			
26.650	0.2693	28.59			
26.667	0.2632	28.71			
26.683	0.2572	28.80			
26.700	0.2516	28.90			
26.717	0.2464	29.01			
26.733	0.2415	29.10			
26.750	0.2362	29.19			
26.767	0.2311	29.29			
26.783	0.2264	29.40			
26.800	0.2221	29.47			
26.817	0.2179	29.58			
26.833	0.2137	29.67			
26.850	0.2096	29.74			
26.867	0.2057	29.83			
26.883	0.2021	29.92			
26.900	0.1986	29.99			
26.917	0.1952	30.08			
26.933	0.1920	30.16			
26.950	0.1890	30.23			
26.967	0.1861	30.32			
26.983	0.1834	30.41			
27.000	0.1806	30.49			
27.017	0.1779	30.56			
27.033	0.1752	30.64			
27.050	0.1729	30.70			
27.067	0.1706	30.77			
27.083	0.1682	30.85			
27.100	0.1659	30.91			
27.117	0.1638	30.98			
27.133	0.1619	31.04			
27.150	0.1599	31.09			
27.167	0.1579	31.16			
27.183	0.1562	31.22			
27.200	0.1544	31.27			
27.217	0.1526	31.33			
27.233	0.1510	31.39			
27.250	0.1493	31.45			
27.267	0.1477	31.52			
27.283	0.1462	31.57			
27.300	0.1448	31.63			
27.317	0.1434	31.69			
27.333	0.1420	31.75			
27.350	0.1406	31.78			
27.367	0.1393	31.85			
27.383	0.1381	31.91			
27.400	0.1369	31.96			
27.417	0.1356	32.00			
27.433	0.1343	32.05			
27.450	0.1333	32.08			
27.467	0.1322	32.12			
27.483	0.1312	32.17			
27.500	0.1301	32.18			
27.517	0.1291	32.23			
27.533	0.1281	32.27			
27.550	0.1271	32.29			
27.567	0.1262	32.32			
27.583	0.1252	32.35			
27.600	0.1243	32.39			
27.617	0.1235	32.42			
27.633	0.1227	32.45			
27.650	0.1218	32.48			
27.667	0.1210	32.51			
27.683	0.1202	32.53			
27.700	0.1195	32.56			
27.717	0.1187	32.57			
27.733	0.1180	32.60			
27.750	0.1173	32.63			
27.767	0.1166	32.65			
27.783	0.1159	32.66			
27.800	0.1153	32.68			
27.817	0.1146	32.71			
27.833	0.1139	32.72			
27.850	0.1131	32.74			
27.867	0.1126	32.75			
27.883	0.1120	32.78			
27.900	0.1114	32.80			
27.917	0.1108	32.80			
27.933	0.1103	32.83			
27.950	0.1096	32.83			
27.967	0.1091	32.84			
27.983	0.1086	32.85			
28.000	0.1081	32.88			
28.017	0.1076	32.88			
28.033	0.1071	32.90			
28.050	0.1066	32.91			
28.067	0.1062	32.93			
28.083	0.1057	32.93			
28.100	0.1053	32.93			
28.117	0.1049	32.94			
28.133	0.1043	32.94			
28.150	0.1039	32.96			
28.167	0.1034	32.97			
28.183	0.1030	32.99			
28.200	0.1026	33.00			
28.217	0.1022	33.00			
28.233	0.1018	33.02			
28.250	0.1015	33.03			
28.267	0.1010	33.03			
28.283	0.1006	33.05			
28.300	0.1003	33.05			
28.317	0.1000	33.05			
28.333	0.0996	33.06			
28.350	0.0991	33.06			
28.367	0.0988	33.06			
28.383	0.0986	33.08			
28.400	0.0982	33.08			
28.417	0.0979	33.08			
28.433	0.0975	33.08			
28.450	0.0972	33.08			
28.467	0.0969	33.09			
28.483	0.0966	33.09			
28.500	0.0963	33.09			
28.517	0.0961	33.09			
28.533	0.0958	33.12			
28.550	0.0955	33.12			
28.567	0.0952	33.12			
28.583	0.0948	33.11			
28.600	0.0947	33.12			
28.617	0.0945	33.14			
28.633	0.0942	33.14			
28.650	0.0939	33.14			
28.667	0.0938	33.14			
28.683	0.0935	33.14			
28.700	0.0933	33.15			
28.717	0.0931	33.14			
28.733	0.0928	33.15			
28.750	0.0926	33.15			
28.767	0.0924	33.15			
28.783	0.0921	33.17			
28.800	0.0919	33.17			
28.817	0.0917	33.15			
28.833	0.0915	33.17			
28.850	0.0913	33.15			
28.867	0.0910	33.17			
28.883	0.0907	33.17			
28.900	0.0905	33.17			
28.917	0.0904	33.17			
28.933	0.0902	33.17			
28.950	0.0900	33.18			
28.967	0.0898	33.17			
28.983	0.0897	33.17			
29.000	0.0895	33.18			
29.017	0.0894	33.17			
29.033	0.0891	33.17			
29.050	0.0889	33.18			
29.067	0.0888	33.18			
29.083	0.0887	33.18			
29.100	0.0885	33.17			
29.117	0.0884	33.18			
29.133	0.0881	33.18			
29.150	0.0880	33.20			
29.167	0.0878	33.20			
29.183	0.0877	33.18			
29.200	0.0876	33.18			
29.217	0.0874	33.20			
29.233	0.0872	33.20			
29.250	0.0871	33.20			
29.267	0.0869	33.20			
29.283	0.0868	33.18			
29.300	0.0865	33.18			
29.317	0.0864	33.18			
29.333	0.0864	33.20			
29.350	0.0863	33.21			
29.367	0.0861	33.20			
29.383	0.0860	33.20			
29.400	0.0858	33.20			
29.417	0.0857	33.20			
29.433	0.0857	33.20			
29.450	0.0856	33.20			
29.467	0.0854	33.20			
29.483	0.0852	33.20			
29.500	0.0851	33.20			
29.517	0.0850	33.20			
29.533	0.0849	33.20			
29.550	0.0848	33.20			
29.567	0.0846	33.20			
29.583	0.0846	33.21			
29.600	0.0845	33.20			
29.617	0.0844	33.21			
29.633	0.0843	33.20			
29.650	0.0841	33.20			
29.667	0.0840	33.20			
29.683	0.0840	33.20			
29.700	0.0838	33.20			
29.717	0.0837	33.20			
29.733	0.0836	33.21			
29.750	0.0835	33.21			
29.767	0.0833	33.20			
29.783	0.0833	33.20			
29.800	0.0832	33.20			
29.817	0.0831	33.20			
29.833	0.0830	33.21			
29.850	0.0829	33.20			
29.867	0.0828	33.20			
29.883	0.0828	33.20			
29.900	0.0827	33.20			
29.917	0.0826	33.20			
29.933	0.0825	33.20			
29.950	0.0824	33.20			
29.967	0.0823	33.20			
29.983	0.0821	33.20			
30.000	0.0821	33.20			
30.017	0.0821	33.20			
30.033	0.0820	33.20			
30.050	0.0820	33.20			
30.067	0.0819	33.20			
30.083	0.0819	33.21			
30.100	0.0818	33.20			
30.117	0.0818	33.20			
30.133	0.0816	33.20			
30.150	0.0815	33.21			
30.167	0.0816	33.20			
30.183	0.0815	33.20			
30.200	0.0815	33.20			
30.217	0.0813	33.20			
30.233	0.0812	33.20			
30.250	0.0811	33.21			
30.267	0.0810	33.20			
30.283	0.0810	33.20			
30.300	0.0809	33.21			
30.317	0.0809	33.20			
30.333	0.0808	33.20			
30.350	0.0807	33.20			
30.367	0.0806	33.20			
30.383	0.0806	33.20			
30.400	0.0805	33.26			
30.417	0.0804	33.21			
30.433	0.0804	33.26			
30.450	0.0804	33.20			
30.467	0.0803	33.21			
30.483	0.0803	33.20			
30.500	0.0803	33.20			
30.517	0.0802	33.20			
30.533	0.0801	33.20			
30.550	0.0800	33.20			
30.567	0.0799	33.26			
30.583	0.0799	33.26			
30.600	0.0798	33.26			
30.617	0.0798	33.26			
30.633	0.0797	33.24			
30.650	0.0797	33.26			
30.667	0.0796	33.26			
30.683	0.0795	33.26			
30.700	0.0794	33.20			
30.717	0.0794	33.26			
30.733	0.0794	33.26			
30.750	0.0794	33.26			
30.767	0.0793	33.26			
30.783	0.0792	33.27			
30.800	0.0793	33.26			
30.817	0.0792	33.26			
30.833	0.0792	33.26			
30.850	0.0790	33.26			
30.867	0.0790	33.26			
30.883	0.0790	33.26			
30.900	0.0790	33.26			
30.917	0.0790	33.26			
30.933	0.0789	33.26			
30.950	0.0787	33.26			
30.967	0.0786	33.27			
30.983	0.0786	33.27			
31.000	0.0786	33.27			
31.017	0.0786	33.27			
31.033	0.0786	33.26			
31.050	0.0785	33.26			
31.067	0.0786	33.27			
31.083	0.0786	33.26			
31.100	0.0785	33.26			
31.117	0.0784	33.27			
31.133	0.0784	33.27			
31.150	0.0783	33.27			
31.167	0.0782	33.26			
31.183	0.0781	33.26			
31.200	0.0781	33.27			
31.217	0.0781	33.27			
31.233	0.0782	33.27			
31.250	0.0782	33.27			
31.267	0.0782	33.26			
31.283	0.0780	33.26			
31.300	0.0779	33.26			
31.317	0.0778	33.26			
31.333	0.0778	33.26			
31.350	0.0778	33.26			
31.367	0.0778	33.26			
31.383	0.0778	33.26			
31.400	0.0777	33.26			
31.417	0.0776	33.26			
31.433	0.0776	33.26			
31.450	0.0776	33.26			
31.467	0.0775	33.27			
31.483	0.0775	33.26			
31.500	0.0776	33.26			
31.517	0.0776	33.26			
31.533	0.0775	33.26			
31.550	0.0774	33.26			
31.567	0.0774	33.26			
31.583	0.0774	33.27			
31.600	0.0774	33.27			
31.617	0.0773	33.26			
31.633	0.0773	33.26			
31.650	0.0772	33.26			
31.667	0.0773	33.26			
31.683	0.0772	33.26			
31.700	0.0772	33.26			
31.717	0.0771	33.26			
31.733	0.0771	33.26			
31.750	0.0770	33.26			
31.767	0.0770	33.26			
31.783	0.0769	33.26			
31.800	0.0769	33.26			
31.817	0.0769	33.26			
31.833	0.0769	33.26			
31.850	0.0768	33.26			
31.867	0.0767	33.26			
31.883	0.0768	33.26			
